Ticker,Profit_Weekly,Profit_General,Weeks_Simulated,Initial_Price,Initial_Investment,Profit_Weekly_Percentage,Profit_General_Percentage
BTC-USD,310679.8671875,231746.296875,25,42520.40234375,425204.0234375,73.06606947786003,54.50237629490916
NVR,4321.5986328125,7026.3681640625,25,7008.2001953125,70082.001953125,6.166488559649083,10.025923872383315
TDG,4074.760437011719,2288.030334472656,25,1008.969970703125,10089.69970703125,40.38534897299396,22.676892285289586
NFLX,2866.7496032714844,1854.9299621582024,25,491.1900024414063,4911.900024414063,58.36335407933015,37.7640007520201
MPWR,2565.2271728515625,1614.3603515625,25,634.8463134765625,6348.463134765625,40.40705787206665,25.429152178924948
MTD,2053.0604248046875,492.710205078125,25,1219.22998046875,12192.2998046875,16.838992295902695,4.041158870524949
VRTX,1733.1598815917969,1559.5398864746094,25,407.6600036621094,4076.6000366210938,42.514837512201304,38.255896395645436
REGN,1666.8494873046875,1068.7796630859375,25,849.530029296875,8495.30029296875,19.620842463735837,12.580834417007337
FICO,1487.869384765625,906.64013671875,25,1164.6199951171875,11646.199951171875,12.775578222971443,7.784858069756232
TT,1424.7657012939453,456.92286682128906,25,242.3771514892578,2423.771514892578,58.783003783138824,18.851730206984463
CTAS,1366.9993896484375,502.6897583007813,25,599.9120483398438,5999.1204833984375,22.78666336892849,8.379390940586893
DPZ,1337.443328857422,302.44525146484386,25,408.7965087890625,4087.965087890625,32.71660349593489,7.398430391706317
FSLR,1245.0599365234375,2506.5199584960938,25,171.94000244140625,1719.4000244140625,72.41246474610988,145.7787555487715
ETN,1147.565414428711,698.2823638916016,25,238.7462158203125,2387.462158203125,48.06632894623146,29.247892432236483
NXPI,1020.2377929687508,1323.1774291992188,25,230.12745666503903,2301.27456665039,44.333597031568175,57.49759061236938
TYL,860.6899719238281,1252.209991455078,25,416.4100036621094,4164.100036621094,20.669291428027847,30.071563613807122
PH,857.5386352539062,1290.3011474609375,25,458.7802429199219,4587.802429199219,18.69170803424475,28.12460142679148
SNPS,833.1893615722656,763.6698303222656,25,520.25,5202.5,16.01517273565143,14.678901111432305
GE,818.7293395996094,521.7767333984375,25,101.4713363647461,1014.7133636474609,80.6857748139462,51.4210960544437
ANET,777.3598022460938,476.9800109863282,25,237.52999877929688,2375.2999877929688,32.72680529790195,20.08083246064083
HCA,757.6763305664062,413.5486450195313,25,270.61798095703125,2706.1798095703125,27.99800397175789,15.281639584961452
GWW,755.7564697265625,1883.6076049804688,25,826.8079223632812,8268.079223632812,9.14065346116144,22.78168307333723
PWR,735.493865966796,1156.4854431152337,25,214.49737548828125,2144.9737548828125,34.28917786488155,53.916064962688395
GOOG,680.7463073730469,426.9651794433594,25,142.6576690673828,1426.5766906738281,47.71887216603152,29.92935341188611
AAPL,679.0389709472665,766.7521362304697,25,192.80398559570312,1928.0398559570312,35.21913558214326,39.76847957066079
APD,668.8443603515607,825.7601928710919,25,271.1273498535156,2711.2734985351562,24.669011101717444,30.456543514228006
PGR,649.4575805664072,254.5340881347656,25,156.51805114746094,1565.1805114746094,41.494100891566255,16.262283249039463
VRSK,636.7923126220703,706.8362274169922,25,236.2867889404297,2362.867889404297,26.949975302369193,29.914335481328703
TRGP,627.8973159790039,463.0313034057617,25,86.48517608642578,864.8517608642578,72.60172718519273,53.538805649542574
CB,597.4786682128911,248.27465820312543,25,220.57083129882807,2205.708312988281,27.08783680483257,11.2560059161569
TER,583.7438201904297,321.1586608886719,25,110.12482452392578,1101.2482452392578,53.0074688167703,29.16314847965063
NTAP,571.2472076416016,88.06541442871097,25,88.44493865966797,884.4493865966797,64.58789121215113,9.957089208641165
SYK,570.6345825195312,292.4076232910156,25,297.5888671875,2975.888671875,19.17526646452117,9.825892549494473
TXN,524.2735290527344,638.709716796875,25,169.47265625,1694.7265625,30.935582214475048,37.68806903307595
TMO,505.31878662109375,191.49383544921875,25,528.9912719726562,5289.9127197265625,9.552497619416561,3.619981001484598
GRMN,482.4566650390625,660.9543151855469,25,128.27566528320312,1282.7566528320312,37.61092674701077,51.52608748715603
HWM,476.6678161621094,172.40165710449207,25,53.76140975952149,537.614097595215,88.66356338017873,32.06791969847082
AJG,411.7346038818364,119.05827331543011,25,221.28761291503903,2212.87612915039,18.60631051408727,5.3802502429786365
AMZN,398.33992004394486,67.199951171875,25,153.41000366210938,1534.1000366210938,25.965706964019226,4.380415198990877
ADI,396.84324645996094,489.45164489746094,25,197.153076171875,1971.53076171875,20.128686509258376,24.825970479444337
AMP,396.8264465332031,538.7383728027344,25,375.605712890625,3756.05712890625,10.56497366558313,14.343188996159197
LIN,395.9226684570313,695.8508911132812,25,407.4133605957031,4074.1336059570312,9.717959859689662,17.079726842925243
CMI,375.99389648437545,74.7445678710942,25,236.56838989257807,2365.683898925781,15.893665956601735,3.1595331863667213
HUBB,374.2265930175781,609.7702941894531,25,326.7745361328125,3267.745361328125,11.45213447309369,18.660275718106178
SOL-USD,357.89422607421875,435.1240692138672,25,112.6767349243164,1126.767349243164,31.762921273376616,38.61702857347923
RL,346.5209350585933,94.22686767578122,25,144.60292053222656,1446.0292053222656,23.963619391861922,6.516249279680461
ORLY,346.20068359375,1745.320068359375,25,942.0599975585938,9420.599975585938,3.67493242989778,18.526633896805713
ACGL,335.70002746581986,126.3899917602538,25,73.51000213623047,735.1000213623047,45.66725856485389,17.193577484329943
CI,322.8690795898437,256.3942565917969,25,297.647216796875,2976.47216796875,10.847374387182024,8.6140317168418
BRO,322.7153015136719,163.70364379882812,25,70.13184356689453,701.3184356689453,46.01551664699264,23.34227014047921
UHS,321.65728759765625,132.4523468017578,25,153.77719116210938,1537.7719116210938,20.917099939650377,8.613263501615707
AXP,316.479248046875,122.22430419921876,25,184.7886505126953,1847.8865051269531,17.126552262209,6.614275490410691
ESS,307.2694549560547,673.3556365966797,25,242.33795166015625,2423.3795166015625,12.67937823403556,27.785810352187966
AXON,305.7601776123047,587.6101531982421,25,258.1099853515625,2581.099853515625,11.84611967630154,22.765882241939575
ULTA,293.05001831054693,243.45986938476585,25,477.3800048828125,4773.800048828125,6.138715809483579,5.099917610594741
BSX,292.0500030517578,80.38997650146484,25,55.9900016784668,559.900016784668,52.161099177833634,14.357916429993972
CDNS,288.6199645996094,553.7999572753906,25,274.9599914550781,2749.5999145507812,10.496798573212168,20.141110506466838
ORCL,283.1908035278318,236.80300140380857,25,105.43985748291016,1054.3985748291016,26.858041189379623,22.45858511732055
COR,281.08128356933594,198.6526336669922,25,203.1886138916016,2031.8861389160159,13.833515480315695,9.776760117718542
MCO,276.08709716796966,461.5647583007831,25,386.6383972167969,3866.3839721679688,7.140705609049,11.93789239825483
MMC,270.6229858398442,85.04069519042991,25,186.17823791503903,1861.7823791503904,14.535693799150728,4.567703301029069
GNRC,270.3298568725586,431.4298782348633,25,129.88999938964844,1298.8999938964844,20.81221480813268,33.215018882296334
WELL,266.26353454589844,397.4832153320313,25,89.87452697753906,898.7452697753906,29.62614029806705,44.22645978780707
GD,259.33335876464844,218.93406677246088,25,253.6092987060547,2536.092987060547,10.22570387157721,8.632730262237583
JPM,258.33915710449264,209.81936645507812,25,166.387451171875,1663.87451171875,15.526360629061703,12.610287913980892
PG,258.2579345703125,194.774658203125,25,144.0936737060547,1440.9367370605469,17.92291971798487,13.51722481588314
MLM,251.30618286132807,1026.3565979003895,25,497.0778198242188,4970.778198242188,5.055670819313508,20.647805171901233
HLT,249.5266876220703,131.15802001953125,25,180.940673828125,1809.40673828125,13.790524946264707,7.248675338974246
RSG,248.08657836914085,131.81109619140622,25,162.08480834960938,1620.8480834960938,15.30597351443509,8.1322301290011
LDOS,239.17505645751976,61.21551513671899,25,107.29625701904295,1072.9625701904295,22.291090397968958,5.705279646973562
CPT,218.0529403686528,260.6456375122075,25,97.40689849853516,974.0689849853516,22.385780035069278,26.75843718770362
DOV,217.02288818359372,318.89805603027344,25,153.72650146484375,1537.2650146484375,14.117467457829674,20.744507485145842
AVB,216.15887451171875,371.616455078125,25,184.83526611328125,1848.3526611328125,11.694677052551215,20.10527876484187
FANG,214.4662170410156,474.1616821289063,25,154.8210906982422,1548.2109069824219,13.852519451566595,30.62642692868523
BBY,212.9997100830078,356.4838104248047,25,76.94419860839844,769.4419860839844,27.682361235192452,46.330173927614936
FIS,199.990047454834,124.22148513793944,25,59.6807975769043,596.807975769043,33.50994885702191,20.814313846571576
JCI,191.4212989807129,49.490665435791016,25,57.30084228515625,573.0084228515625,33.4063674017407,8.636987426729597
CHD,191.4142227172852,79.264892578125,25,91.76836395263672,917.6836395263672,20.858410728132572,8.637496536282919
APH,189.68630599975572,175.23377609252918,25,49.64487457275391,496.4487457275391,38.208638380538744,35.29745569922357
ADP,187.7849884033212,106.81208801269575,25,229.8793182373047,2298.793182373047,8.168850936362642,4.646441830075097
ETR,187.66275024414065,188.31251525878903,25,98.15091705322266,981.5091705322266,19.11981628682898,19.186016892402133
