Ticker Correct_General Total_General Correct_Weekly Total_Weekly Average_General_Error Average_Weekly_Error
WMB 13 24 10 24 0.07756486750667374 0.027895202728181533
CDNS 22 24 15 24 0.037623608736395586 0.021609010598670764
DIS 3 24 11 24 0.010272140561330507 0.015545955019678143
PGR 24 24 13 24 0.1655951339444125 0.015024689837461015
REG 22 24 11 24 0.04963121400165028 0.01740660328830946
GLW 0 0 0 0 0 0
MOS 18 24 11 24 0.10900980683961893 0.023804943177341224
AIZ 16 24 10 24 0.04730208586628814 0.015540419097168362
BR 9 24 13 24 0.14923393957305375 0.017334378673552704
EMN 10 24 10 24 0.05706675694716253 0.018949634837679953
KLAC 0 0 0 0 0 0
UNH 0 0 0 0 0 0
WAT 14 24 11 24 0.03534314790472916 0.029428117354210317
DVA 1 24 11 24 0.013551434099833294 0.009974255614285667
SLB 0 0 0 0 0 0
CHTR 9 24 13 24 0.1441408360512019 0.0203540351624182
AOS 0 0 0 0 0 0
ROL 10 23 11 23 0.0335570944407531 0.014593672493027275
HD 13 24 12 24 0.028002717644619528 0.016078318210563543
ADA-USD 21 24 13 24 0.0838469400609893 0.07571148105592614
LYB 21 24 14 24 0.032807499684620885 0.013245572758952533
NKE 0 0 0 0 0 0
CHD 18 24 12 24 0.05495653400466664 0.01914194151736782
STX 0 0 0 0 0 0
SYF 8 24 15 24 0.1036361304626354 0.016688611870980505
C 0 0 0 0 0 0
HPE 13 24 10 24 0.04721695852140803 0.02533985908357862
HLT 16 24 13 24 0.0700082475041719 0.014778147995537401
AKAM 0 0 0 0 0 0
TFC 0 0 0 0 0 0
BLDR 10 24 12 24 0.10134214905111025 0.03655249146441349
KO 16 24 13 24 0.03500722048698946 0.03089095841035501
BBWI 1 24 10 24 0.08298260163369117 0.04088001715439114
EBAY 9 24 14 24 0.07169776432837875 0.023137064571462664
MCO 12 24 12 24 0.05557253980798756 0.011528165317037507
WFC 0 0 0 0 0 0
IBM 10 24 11 24 0.058463186357362994 0.012807660300002405
GRMN 18 24 13 24 0.09160613299836377 0.03771918849039404
FTNT 11 24 11 24 0.08465489868045874 0.019537253404255897
EXPD 15 24 12 24 0.03642151266437122 0.02029144631651086
NWS 12 24 11 24 0.026543256701405653 0.027750166406948936
BDX 7 24 18 24 0.015085736666233073 0.015851167786933223
META 0 0 0 0 0 0
CCI 13 24 9 24 0.1667175062341178 0.17745524063297813
ADI 12 24 9 24 0.027942470739154627 0.026414248172979375
BLK 16 24 14 24 0.2185386067301081 0.026505397608070223
POOL 5 24 7 24 0.04907113276290481 0.01138034698074242
ENPH 23 24 16 24 0.08410383269494721 0.05544033182488084
BNB-USD 0 0 0 0 0 0
CE 7 24 7 24 0.049685045256828854 0.015552650179877402
NTAP 17 24 16 23 0.13916591469999823 0.028726844056303685
FDS 0 0 0 0 0 0
HBAN 6 24 12 24 0.04836816108851677 0.025122214574721153
PNC 14 24 17 24 0.04196834586867497 0.016826452566060107
TJX 4 24 11 24 0.014405024405069114 0.02834925847357553
CME 0 0 0 0 0 0
RMD 0 0 0 0 0 0
LEN 21 24 10 24 0.17335722821989566 0.03493095904830475
DAL 0 0 0 0 0 0
SBAC 23 24 15 24 0.06703846109805352 0.03430298321656534
MCHP 0 0 0 0 0 0
SJM 7 24 13 24 0.027296628096053314 0.023655821869287583
CNP 15 24 12 24 0.01880407982622077 0.017839441685794415
DUK 13 24 11 24 0.06218358809051995 0.03437520652890438
LMT 10 24 13 24 0.03287576140497203 0.012171357431267375
SBUX 0 0 0 0 0 0
CPB 7 24 14 24 0.1242085583725832 0.03857626027787398
PSA 13 24 12 23 0.02887620297874652 0.022504356941141005
EG 0 0 0 0 0 0
CLX 0 0 0 0 0 0
APTV 19 24 9 24 0.06539066039993828 0.04499371183748323
PARA 0 0 0 0 0 0
