Ticker Correct_General Total_General Correct_Weekly Total_Weekly Average_General_Error Average_Weekly_Error
BMY 0 0 0 0 0 0
AMCR 18 24 14 24 0.14853088715672216 0.03713059946491213
O 21 24 10 24 0.036377717741474316 0.02213376219766789
BIO 12 24 14 24 0.03342067144788816 0.024676109535276887
APH 19 24 12 24 0.14015921723593527 0.0234929728440091
EL 19 24 15 24 0.04885419504633538 0.02968013859814534
CPRT 18 24 11 23 0.06071579305493838 0.011137874978673858
FOX 18 24 15 24 0.04918980050270544 0.01225529974729331
CVX 0 0 0 0 0 0
AMT 0 0 0 0 0 0
DOW 19 24 14 24 0.043987574285740495 0.013689608216554114
PLD 0 0 0 0 0 0
HCA 16 24 13 24 0.12727963709334933 0.00859991804784253
EIX 0 0 0 0 0 0
ICP-USD 1 24 10 24 0.4488930655351333 0.1587178264182713
AAPL 3 24 14 24 0.09156953939711508 0.03314136517141487
TFX 20 24 12 24 0.10934007491117097 0.02139470003771876
LVS 10 23 13 24 0.04498529633779777 0.03183200793586716
ISRG 0 0 0 0 0 0
COO 13 24 10 24 0.02646557087464941 0.020617216896524702
SWK 7 24 14 24 0.03707963432918394 0.016549215027520138
ZTS 17 24 11 24 0.08313538522795931 0.023239739181670195
SNA 0 0 0 0 0 0
NTRS 12 24 18 24 0.08451068613463962 0.016237839566740325
MAA 9 24 10 24 0.010818382458965378 0.023992625836372173
JNPR 1 24 15 24 0.23893455769345054 0.028670636062923208
ZBH 0 0 0 0 0 0
MU 0 0 0 0 0 0
J 23 24 11 24 0.0682842648691071 0.03464933632645968
REGN 1 24 13 24 0.0474039804023353 0.023122232569500103
LUV 11 24 11 24 0.030771669361404318 0.03493835621267482
INVH 0 0 0 0 0 0
TRX-USD 0 0 0 0 0 0
TRGP 18 24 15 24 0.16973026963666651 0.019869879893549974
EQR 18 24 14 24 0.01565244526802201 0.01599227230986202
CAG 3 24 15 24 0.043640008222181885 0.015863492855436277
EPAM 21 24 12 24 0.09122602721560875 0.03673219334084477
CF 17 24 16 24 0.6763243997620272 0.08729391675081369
UHS 3 24 15 24 0.03476441771408967 0.019427616002809848
CSGP 15 24 14 24 0.026005369610381992 0.020472487622307883
DHR 0 0 0 0 0 0
CTAS 16 24 11 24 0.06361465886950662 0.015878132573022268
TER 15 24 13 24 0.029614793616867627 0.02932967256718759
AMZN 8 24 13 24 0.144079385347991 0.02251280616470091
ETSY 0 0 0 0 0 0
GIS 2 24 14 24 0.02790233701625078 0.023505562219759153
AVAX-USD 18 24 11 24 0.28487604799083355 0.09062665626008741
NDSN 9 24 14 24 0.009707238968588343 0.012782580601042317
PSX 0 0 0 0 0 0
ZBRA 0 0 0 0 0 0
FOXA 16 24 15 24 0.03693253878026029 0.011546243890632725
RJF 21 24 13 24 0.06499492354207571 0.008845941327986953
FI 16 24 11 24 0.058743615727816674 0.024063086020327477
MDLZ 0 0 0 0 0 0
ORCL 22 24 16 24 0.07662981010879912 0.02771721877077054
JKHY 8 24 10 24 0.09014935136732288 0.02746403991094475
GPN 0 0 0 0 0 0
DTE 17 24 17 24 0.03200163417688065 0.013077806827233395
DOGE-USD 0 0 0 0 0 0
MNST 10 24 12 24 0.017330060771629012 0.014544965244887477
FFIV 0 0 0 0 0 0
EVRG 17 24 17 24 0.044977054853327744 0.024462039489779205
APD 3 24 13 24 0.5504383600557748 0.16482158193898544
DOV 19 24 13 24 0.0986282433925714 0.018170727481111593
FMC 17 24 13 24 0.05063889973163381 0.05402926960033013
ACGL 23 24 12 24 0.0715035564466479 0.02298825441047113
ANSS 2 24 13 24 0.055323815788197804 0.017925945717053245
EA 0 0 0 0 0 0
PNW 15 24 12 24 0.04558923953896485 0.018127615190370323
ABBV 0 0 0 0 0 0
STETH-USD 0 0 0 0 0 0
HPQ 18 24 16 24 0.0417323982874913 0.021606257016537962
MSFT 0 0 0 0 0 0
CAT 0 0 0 0 0 0
EXR 19 24 12 24 0.06012684189287588 0.024588980478713728
RL 3 24 14 24 0.05916157178495445 0.02128955312872118
BIIB 0 0 0 0 0 0
XEL 0 24 14 24 0 0.03355473900607363
QRVO 21 24 15 24 0.04418573201447995 0.039425532175872316
CTSH 12 24 14 24 0.02459680450204793 0.010689297856423594
MCK 0 0 0 0 0 0
PWR 20 24 18 24 0.037944917695624025 0.01997555448303712
YUM 0 0 0 0 0 0
DPZ 5 24 13 24 0.15096487294767622 0.022254650672401215
NCLH 0 0 0 0 0 0
CMS 18 24 14 24 0.029050978223474428 0.019835502334136505
MMC 21 24 10 24 0.03995605203174737 0.009439637688227703
AVGO 0 0 0 0 0 0
IDXX 17 24 14 24 0.05194814817089885 0.021157966273499272
STLD 11 24 17 24 0.05359920143549508 0.023480973697501174
NVR 18 24 13 24 0.03847674557598435 0.01606318583965441
APA 15 24 16 24 0.10556331119733228 0.029792757687381394
TSN 8 24 12 24 0.09500913893140588 0.014346492988815546
VRSK 16 23 12 24 0.04208684909430218 0.021511925210461563
GEN 17 24 9 24 0.03615134253567373 0.026005776044084314
ELV 0 0 0 0 0 0
HRL 7 24 8 24 0.03273543831052945 0.030308878657840984
INCY 0 0 0 0 0 0
HUM 2 24 11 24 0.03187385209034299 0.021882326441560553
TGT 0 0 0 0 0 0
BEN 17 24 16 24 0.05065806559211809 0.022092450258496665
PTC 13 24 13 24 0.027571545566133344 0.018873117280502602
IVZ 5 24 10 24 0.056932838028437224 0.020294161536882956
INTU 7 24 12 24 0.08211976912780543 0.04527317644560939
AWK 5 24 13 24 0.06806438522226456 0.022084177143843066
AJG 16 24 12 24 0.06971124527991428 0.019612591962539946
NFLX 21 24 13 24 0.10646217775097766 0.032840813486155265
COP 21 24 13 24 0.04793250330005029 0.019244701005716243
ARE 4 24 13 24 0.025527481796314307 0.02550342604857531
CB 22 24 12 24 0.062187594752140245 0.01453066766663099
LINK-USD 7 24 9 24 0.1964568106583495 0.11039858615106325
JBL 0 0 0 0 0 0
WBTC-USD 0 0 0 0 0 0
MPC 0 0 0 0 0 0
ALB 6 24 11 24 0.1848574900308877 0.057930866382688094
TDG 22 24 16 24 0.12676158722625422 0.02214202347129313
VTRS 20 24 9 24 0.07220934111589761 0.02477212561179925
PFG 19 24 14 24 0.03169968590483676 0.010289670960800763
DFS 11 24 12 24 0.05991797910814357 0.028774057279704765
MAR 4 24 13 24 0.043453760868516385 0.017773803326281708
ECL 0 0 0 0 0 0
INTC 0 0 0 0 0 0
HES 13 24 13 24 0.02304778197680056 0.020863557960511467
TSLA 20 24 12 24 0.17805527062290472 0.09409352285720417
PANW 0 0 0 0 0 0
TDY 14 24 13 24 0.021709599731455104 0.012164677476930518
BAC 0 0 0 0 0 0
NUE 13 24 12 24 0.03853787634198172 0.029410465026606176
FAST 5 24 11 24 0.020648480822300332 0.02814273500498584
BA 6 24 12 24 0.16995662911782047 0.03676386533825828
QCOM 0 0 0 0 0 0
EQIX 10 24 11 24 0.028252404206681413 0.022385565964074965
VTR 0 0 0 0 0 0
CI 5 24 14 24 0.06312995588719827 0.0130946222627626
SRE 15 23 15 24 0.024852423370031528 0.015652927927769053
K 0 0 0 0 0 0
MET 0 0 0 0 0 0
BSX 11 24 14 24 0.219031743826013 0.013577624106916637
ACN 0 0 0 0 0 0
JCI 6 24 14 24 0.04501264020713422 0.025700646275271126
GL 7 24 10 24 0.016259588078521237 0.07049952253351859
RHI 13 24 11 24 0.10638144450559914 0.014787618778258755
SYY 0 0 0 0 0 0
WM 0 0 0 0 0 0
COST 0 0 0 0 0 0
RCL 0 0 0 0 0 0
AXP 1 24 9 23 0.008252024789689514 0.0205920744032012
CPT 11 24 13 24 0.027844043031966782 0.02015541979451694
OMC 7 24 12 24 0.03338226163140644 0.015953099371849567
TEL 7 24 12 24 0.013474090111410349 0.021718715828283247
CZR 0 0 0 0 0 0
LYV 12 24 10 24 0.054530157506717136 0.015733959910866055
CDW 10 24 15 24 0.04620836025906012 0.020540447900816928
V 7 24 13 24 0.036698766811121865 0.00919421961465044
MO 0 0 0 0 0 0
NDAQ 14 24 12 24 0.02362510052365505 0.026131675724966354
COF 16 24 14 24 0.05182285927096848 0.014138745754277529
FCX 10 24 14 24 0.05990824265799205 0.030140557458665226
STZ 15 24 14 24 0.05509095891647176 0.011915014047665293
TROW 21 24 15 24 0.02530481912035661 0.015654391660656516
AMP 22 24 13 24 0.026154851426524538 0.01609246124907099
JPM 10 24 13 24 0.12269034551244222 0.020135956149430825
CNC 10 24 14 24 0.02436233947602402 0.025772146321093602
LLY 0 0 0 0 0 0
LRCX 0 0 0 0 0 0
CTVA 5 24 14 24 0.021462244794602812 0.02813240780889904
VZ 0 0 0 0 0 0
RVTY 14 24 12 24 0.03290082181573049 0.021230931232303334
EOG 12 24 11 24 0.03982336372634849 0.01636054201002023
NSC 0 0 0 0 0 0
GWW 17 24 11 24 0.11751658976223671 0.023653125073330224
NOW 0 0 0 0 0 0
ANET 21 24 10 24 0.1296045136940737 0.024088530577341068
CCL 0 24 12 24 0 0.07294395921475776
ESS 17 24 17 24 0.03552348745244937 0.020867781666342837
MHK 3 24 11 24 0.02282528378341106 0.02216470008378921
ADSK 10 24 10 24 0.03543657026478496 0.02017782214837617
MOH 7 24 7 24 0.04539147682837025 0.0473347289706968
GD 2 24 13 24 0.39708316071498573 0.0411491542288773
XYL 2 24 14 24 0.032590498143359806 0.02241464982850597
WRK 0 0 0 0 0 0
GM 15 24 12 24 0.160242430450475 0.02914551948358976
NEM 21 24 13 24 0.1185842587953118 0.029183802962421332
PH 5 24 13 24 0.37104821531279775 0.038925483036226255
CBRE 14 24 15 24 0.030123594507087882 0.16978096782488106
WAB 0 0 0 0 0 0
USB 20 24 9 24 0.05610562813872003 0.023170121505091124
HSIC 11 24 10 24 0.013390252402121801 0.021398049573302557
HUBB 21 24 15 24 0.11323460759209716 0.01733352864481669
SPG 17 24 14 24 0.414679802970982 0.027193492574183162
MLM 21 24 13 24 0.06251339443485857 0.02972716840477952
BKR 10 24 13 24 0.10330619001588184 0.022308411513781674
CTRA 12 24 15 24 0.03269659876598658 0.016263937525736082
RSG 21 24 12 24 0.10945856118165793 0.008986923282017813
PCAR 22 24 12 24 0.07945875743146523 0.012620740457553223
EXPE 14 24 10 24 0.05512109543216293 0.027215796351287392
CVS 0 0 0 0 0 0
IP 13 24 11 24 0.06261307238285471 0.024848450251979695
LTC-USD 0 0 0 0 0 0
STT 0 0 0 0 0 0
TTWO 5 24 14 24 0.035595139359440565 0.018614907914310894
FITB 16 24 12 24 0.04206433514669615 0.025128147483856642
ODFL 18 24 17 24 0.03666640033436699 0.02636164187783449
NWSA 15 24 15 23 0.06815974238643038 0.014687944009948072
MDT 0 0 0 0 0 0
LNT 9 24 11 24 0.025423357899459074 0.019613269367834484
ROST 7 24 12 24 0.039439844418209316 0.015009386531441148
MKC 0 0 0 0 0 0
KEYS 0 0 0 0 0 0
DOT-USD 21 24 10 24 0.25385898170310184 0.08316630854702105
LOW 15 24 14 24 0.05041075247156259 0.02117361697531154
AXON 12 24 13 24 0.12419319599765989 0.028808209213829823
EW 5 24 12 24 0.06791836358332695 0.048396599775421316
WRB 8 24 11 24 0.14138413808056016 0.014219790562881517
TRMB 0 0 0 0 0 0
BWA 0 0 0 0 0 0
NVDA 0 0 0 0 0 0
IRM 13 24 15 24 0.07518309106819548 0.020937530554547442
MTB 7 24 15 24 0.18815308322201152 0.03924871133748447
WELL 17 24 7 24 0.06922882886416862 0.023276992130554442
ALLE 15 24 11 24 0.0283804273929694 0.013817338449210266
MPWR 16 24 14 24 0.04414850454895796 0.035211009250372176
HON 19 24 11 24 0.05812183734266672 0.014755286450191873
PEG 0 0 0 0 0 0
MAS 0 0 0 0 0 0
ROP 11 23 12 23 0.011413570195513263 0.012703778642554987
TMUS 0 0 0 0 0 0
CRL 15 24 8 24 0.05332174173603798 0.02914714800575501
HSY 11 24 11 24 0.0387137064936597 0.02354177932963972
GILD 0 0 0 0 0 0
PCG 0 0 0 0 0 0
AVY 0 0 0 0 0 0
DXCM 12 24 11 24 0.023465824085729337 0.031074449121217654
FTV 20 24 13 24 0.07514230458851896 0.016442996531070644
VMC 3 24 12 24 0.02450493744635226 0.013989304724332798
BXP 15 24 11 24 0.05897097535111658 0.022869443728589265
BALL 0 0 0 0 0 0
STE 10 24 10 24 0.059866952364621674 0.04638758496427696
EXC 19 24 10 24 0.02292049302484461 0.026008781078638278
UAL 0 0 0 0 0 0
DGX 5 24 12 24 0.027753546964416516 0.010833771373587117
AMAT 0 0 0 0 0 0
DHI 9 24 11 24 0.025265032325610236 0.02757373440985955
DD 15 24 12 24 0.03686822669441638 0.029866245842048816
IFF 9 24 12 24 0.05590360220492831 0.026722538177357726
MA 0 0 0 0 0 0
SHIB-USD 7 22 10 18 0.08234468499280556 0.10548113696559883
BAX 0 0 0 0 0 0
TMO 5 24 14 24 0.0792571763896042 0.016009861296123928
MSCI 10 24 14 24 0.02842796637428755 0.02127700778754727
ED 0 0 0 0 0 0
WTW 1 24 6 23 0.005123303669581068 0.021551364164517178
BRO 24 24 14 24 0.10266540815072765 0.01861336345073453
MKTX 24 24 13 24 0.16015879166833544 0.02776574704717708
DVN 8 24 13 24 0.033764708807551946 0.022090912860744886
TYL 21 24 11 24 0.05435942167236618 0.021430831757332916
ETH-USD 0 0 0 0 0 0
PKG 20 24 9 24 0.07529193663967339 0.019524898322038943
OKE 15 24 15 24 0.057921011913771324 0.011808965579547213
FANG 20 24 14 24 0.1620561887509906 0.02243785483288439
PG 20 24 10 23 0.05369138682868034 0.018189333713938265
ADBE 0 0 0 0 0 0
CMA 15 24 12 24 0.04382634618729864 0.027941494571196174
WDC 0 0 0 0 0 0
MGM 0 0 0 0 0 0
WBD 0 0 0 0 0 0
NRG 0 0 0 0 0 0
ADP 19 24 16 24 0.041319368278724365 0.012096666226274144
KHC 0 0 0 0 0 0
LULU 0 0 0 0 0 0
ES 19 24 11 24 0.047768602522160274 0.03829916762696086
UDR 11 24 4 24 0.02188266952903133 0.04300244246302844
AON 19 24 14 24 0.04252295740996971 0.016053845366027487
HOLX 0 0 0 0 0 0
KIM 24 24 10 23 0.034195098887672144 0.023355490209263908
T 0 0 0 0 0 0
DRI 15 24 13 24 0.05464339656691385 0.016667229239999606
LHX 0 0 0 0 0 0
NEE 0 0 0 0 0 0
CSX 15 24 13 24 0.04244693889760775 0.013792643185672223
CSCO 0 0 0 0 0 0
MRK 0 0 0 0 0 0
ATO 12 24 14 24 0.04007240374795435 0.015653929263237984
HWM 20 24 12 24 0.23114293182313017 0.028246611243274298
FDX 12 24 8 24 0.0625968356006818 0.019260774299319876
BTC-USD 20 24 16 24 0.3477291728621775 0.0604022393523511
ETN 22 24 17 24 0.17681353054881568 0.01434790605238341
DLR 0 0 0 0 0 0
FE 4 24 10 23 0.05694663809954182 0.012038997442948129
VICI 0 24 5 24 0 0.019556944318710426
AZO 0 0 0 0 0 0
AME 6 24 10 24 0.049106307259433296 0.039754513483865925
ICE 0 0 0 0 0 0
ORLY 23 24 13 24 0.07014310128945152 0.013566286727728468
CTLT 12 24 15 24 0.13332082089870642 0.02084008763581517
OTIS 6 24 11 24 0.037318149509353214 0.017164772526614847
CMCSA 0 0 0 0 0 0
EFX 13 24 10 24 0.06118840047452994 0.02710218981887272
KMB 0 0 0 0 0 0
URI 0 0 0 0 0 0
SYK 18 24 15 24 0.07854453808478368 0.011665725707715456
WY 7 24 13 24 0.08340975794012298 0.013250257151010929
COR 21 24 10 24 0.12240733159037469 0.02586783415812736
GNRC 9 24 12 24 0.07159621729208487 0.04169991495270801
GOOG 15 24 13 24 0.06946648237531401 0.020918891197117602
IQV 13 24 16 24 0.12697034076384328 0.02137747711618343
BX 1 24 12 24 0.08439957290350016 0.015900646703398417
AMD 22 24 10 24 0.13213747843720672 0.04131620023116621
MTCH 5 24 10 24 0.03107898941562872 0.03403641832748315
RTX 8 24 11 24 0.09374996607826296 0.011366230132267468
A 10 24 11 24 0.04068101492547586 0.023376193435738702
GE 23 24 10 24 0.2866360347457032 0.02671124695525884
ILMN 0 0 0 0 0 0
FSLR 10 24 11 24 0.23211941299167016 0.06986040593240433
ROK 0 0 0 0 0 0
SOL-USD 6 24 13 24 0.2433652477989482 0.1017566457285767
VRTX 17 24 13 24 0.03895240835547928 0.015305419535772143
SWKS 0 0 0 0 0 0
XRP-USD 0 0 0 0 0 0
PEP 0 0 0 0 0 0
HII 0 0 0 0 0 0
AEE 0 0 0 0 0 0
ADM 6 24 14 24 0.1554787899203797 0.051062304971729165
CINF 1 24 13 24 0.0144776563877029 0.013216471855831417
AFL 0 0 0 0 0 0
MTD 5 24 15 24 0.025043262057236938 0.034127928924816135
SO 13 24 12 24 0.06774304330448686 0.014023227331876978
KMX 0 0 0 0 0 0
HAL 0 0 0 0 0 0
HAS 19 24 16 24 0.09079286999895023 0.01821812437575433
PYPL 0 0 0 0 0 0
EQT 0 0 0 0 0 0
IT 14 24 12 24 0.031082856585380823 0.014825469109722914
DAI-USD 15 17 4 17 0.681909816015643 0.2784580083058139
SPGI 7 24 7 24 0.022704677405029867 0.013204754692627009
BBY 9 24 15 24 0.03678911005535442 0.033998964471479425
MRNA 4 24 10 24 0.07915727083653791 0.03499461103645468
USDT-USD 7 24 12 24 0.05308300801831646 0.07102809963371393
MCD 0 0 0 0 0 0
PPG 3 24 13 24 0.017612592257527298 0.0183876045237917
PPL 12 24 11 24 0.0717954855191095 0.03526111239542604
TRV 12 24 14 24 0.16060787637255516 0.008466205895693276
DLTR 0 0 0 0 0 0
TSCO 0 0 0 0 0 0
AES 19 24 13 24 0.07147702290260187 0.03193966010075695
UNP 0 0 0 0 0 0
KMI 0 0 0 0 0 0
MRO 0 0 0 0 0 0
SCHW 17 24 15 24 0.043698711622336156 0.013124234039238276
AVB 13 24 11 24 0.02925483804229466 0.027558393703743054
LW 15 24 10 24 0.06187682207233717 0.01861219377201465
CRM 19 24 9 24 0.061233713516740534 0.04030825756059727
PM 11 24 10 24 0.2319587126791098 0.02326922515183974
CMG 0 0 0 0 0 0
CHRW 12 24 11 24 0.06602828987963898 0.023328083687131185
WYNN 0 0 0 0 0 0
LH 1 24 15 24 0.03187990293863132 0.01828477582521785
DG 20 24 9 24 0.25944979533542617 0.04073112870737737
ABNB 11 24 7 24 0.06392850191189596 0.025547273717886034
GOOGL 0 0 0 0 0 0
WST 13 24 11 24 0.05365265478435136 0.02537131842221171
WMT 0 0 0 0 0 0
PNR 19 24 12 23 0.04381593197507891 0.024606855039752
KDP 17 24 15 24 0.030613717618997796 0.01992968628822831
CARR 13 24 15 24 0.08006924142089812 0.020619376267070822
USDC-USD 16 24 12 24 0.5818337624362122 0.11406123094987164
AEP 7 24 11 24 0.03099176818054739 0.02581043419479263
DE 0 0 0 0 0 0
SHW 0 0 0 0 0 0
AIG 3 24 14 24 0.04428851538160422 0.017785868560561
LIN 19 24 14 24 0.05754993916026793 0.010943012906346358
ABT 20 24 15 24 0.018950002922237565 0.012592410333223836
IEX 16 24 14 24 0.04735306757730128 0.02064668882699241
NXPI 15 24 14 24 0.03495550063451587 0.03019401071194595
VRSN 23 24 12 24 0.03760992955785416 0.024481482658570117
PAYX 0 0 0 0 0 0
GPC 0 0 0 0 0 0
LDOS 11 24 12 24 0.16990334720545264 0.027178347229374747
ALGN 16 24 11 24 0.06480749496284617 0.020175754736661642
AMGN 0 0 0 0 0 0
L 22 24 13 24 0.03925294147668915 0.011801964566172872
NI 18 24 10 23 0.034477039137111976 0.017971306805210537
PAYC 1 24 8 24 0.12873464002090512 0.016258357845597024
MMM 0 0 0 0 0 0
IR 0 0 0 0 0 0
IPG 2 24 11 24 0.010791462930031907 0.012641957960735835
TXN 13 24 13 24 0.0638322990197064 0.02169745745545907
CBOE 21 24 13 24 0.053910254976220644 0.0168547958966232
CL 0 0 0 0 0 0
OXY 0 0 0 0 0 0
JBHT 4 24 14 24 0.02199198331202602 0.02711309657426154
EMR 18 24 15 24 0.04739084114403244 0.018987100289704403
MATIC-USD 0 0 0 0 0 0
MSI 0 0 0 0 0 0
GS 0 0 0 0 0 0
CAH 0 0 0 0 0 0
HST 13 24 9 24 0.2893700108655102 0.036716051840316795
KEY 9 24 12 24 0.04396724942659378 0.019125314976396933
FRT 18 24 9 24 0.010877290321036242 0.008940399610295545
BKNG 0 0 0 0 0 0
WBA 0 0 0 0 0 0
ETR 17 24 8 24 0.04536330622764132 0.018946610513081004
LKQ 9 23 12 24 0.05525058108772579 0.022466702685748283
PRU 10 24 15 24 0.06736126636887521 0.011687270871199768
BG 15 24 13 24 0.060181804632996855 0.02781524916434329
TT 19 24 18 24 0.13086850380801648 0.021262639723234878
PODD 24 24 17 24 0.1327129050799838 0.04274510120283836
NOC 0 0 0 0 0 0
WEC 14 24 17 24 0.02429221681720708 0.015937925008427112
TXT 2 24 10 24 0.07029758228491588 0.022263172211961616
KR 0 0 0 0 0 0
TECH 11 24 15 24 0.05272509049411244 0.02569651028431373
BK 2 24 9 24 0.004716979022477325 0.012924169255060491
UBER 22 24 13 24 0.10858533015777966 0.07710116496432597
AAL 13 24 12 24 0.03953394231582182 0.055106337260019345
CFG 8 24 11 24 0.04224173646498542 0.025475526664043
RF 10 24 11 24 0.04516441299319841 0.021696096016889092
HIG 0 24 8 24 0 0.014071510888901115
ULTA 11 24 11 24 0.02064445999969267 0.03319494621599644
FIS 9 24 12 24 0.10525783561865845 0.044037725148386414
TAP 10 24 15 23 0.041786857853578045 0.016116255632786194
CMI 9 24 12 24 0.10048421409724267 0.016262330842845403
SNPS 22 24 13 24 0.07645376532375142 0.026781096434937344
UPS 4 24 12 24 0.009540507018389677 0.01917398082962155
XOM 0 0 0 0 0 0
PHM 14 24 11 24 0.05453195487637679 0.023535957622872496
VLO 0 0 0 0 0 0
FICO 9 24 15 24 0.08173770010299736 0.031278696416639946
JNJ 11 24 10 24 0.01902270093962607 0.014699618610969823
TPR 16 24 10 24 0.09949520744517676 0.012312150320163289
D 9 24 15 24 0.043725410014802124 0.020074882531368018
F 0 0 0 0 0 0
ITW 10 24 9 24 0.029196144167419252 0.01252533271919884
MS 0 0 0 0 0 0
PFE 0 0 0 0 0 0
